nombre,primer apellido,segundo apellido,email,teléfono
María,García,López,maria.garcia@example.com,+34600111222
José,Pérez,Sánchez,jose.perez@example.com,+34600333444
Lucía,Fernández,Ruiz,lucia.fernandez@example.com,+34600555666
Álvaro,Martín,Gómez,alvaro.martin@example.com,+34600777888
Carmen,Rodríguez,Díaz,carmen.rodriguez@example.com,+34600999000
Miguel,Navarro,Hernández,miguel.navarro@example.com,+34611222333
Elena,Torres,Jiménez,elena.torres@example.com,+34611444555
Javier,Ortega,Moreno,javier.ortega@example.com,+34611666777
Ana,Castro,Vega,ana.castro@example.com,+34611888999
Sergio,Ramírez,Blanco,sergio.ramirez@example.com,+34612000111
